,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A0060000001a,"메밀 냉면, 말린것",360 ,12.1 ,10.74 ,1.44 ,2.06 ,73.66 ,0 ,3.2 ,9822 ,3128 ,6694 ,1.37 ,0.83 ,0.34 ,0.19 ,0.83 ,0 ,1.6 ,0 ,농진청('14),12,A0060000001a,"메밀 냉면, 말린것",27 ,1.36 ,36 ,109 ,176 ,628 ,0.77 ,0.122 ,0.953 ,15.70 ,10.86 ,1.94 ,0 ,0 ,0 ,0.42 ,0 ,0.021 ,0.160 ,0.444,0.165 ,0.010 ,0 ,27 ,0.45 ,0 ,농진청('14)
,,"Buckwheat noodle, Nangmyeon, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat noodle, Nangmyeon, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A0060000001b,"메밀 냉면, 말린것, 삶은것",141 ,66.2 ,4.22 ,0.59 ,0.28 ,28.71 ,0 ,1.4 ,3878 ,1240 ,2638 ,0.56 ,0.34 ,0.14 ,0.08 ,0.34 ,0 ,0.2 ,0 ,농진청('14),13,A0060000001b,"메밀 냉면, 말린것, 삶은것",18 ,0.56 ,15 ,40 ,17 ,68 ,0.32 ,0.042 ,0.380 ,3.58 ,1.26 ,0 ,0 ,0 ,0 ,0.16 ,0 ,0.019 ,0.047 ,0.095,0 ,0 ,0 ,15 ,0.66 ,0 ,농진청('14)
,,"Buckwheat noodle, Nangmyeon, Dry noodle, Boiled",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat noodle, Nangmyeon, Dry noodle, Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A0070000000a,"메밀묵, 생것",58 ,85.6 ,0.86 ,0.23 ,0.51 ,12.80 ,0 ,1.7 ,738 ,341 ,397 ,0.22 ,0.08 ,0.06 ,0.08 ,0.08 ,0 ,0.3 ,0 ,농진청('14),14,A0070000000a,"메밀묵, 생것",7 ,1.45 ,13 ,24 ,38 ,120 ,0.13 ,0.031 ,0.119 ,3.45 ,3.02 ,1.19 ,0 ,0 ,0 ,0.16 ,0 ,0.016 ,0.020 ,-,0 ,0 ,0 ,0 ,0 ,0 ,농진청('14)
,,Buckwheat starch jelly,,,,,,,,,,,,,,,,,,,,,,,Buckwheat starch jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A0070000005a,"메밀묵, 가루",371 ,11.0 ,8.33 ,2.04 ,1.24 ,77.39 ,0.26 ,4.1 ,7259 ,3348 ,3911 ,2.00 ,0.78 ,0.45 ,0.77 ,0.78 ,0 ,0 ,0 ,농진청('14),15,A0070000005a,"메밀묵, 가루",21 ,1.84 ,151 ,289 ,287 ,2 ,2.19 ,0.356 ,1.085 ,1.76 ,25.05 ,0 ,0 ,7 ,0 ,3.41 ,0 ,0.197 ,0.148 ,-,0 ,0.111 ,0 ,27 ,0 ,0.34 ,농진청('14)
,,"Buckwheat starch jelly, Powder",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat starch jelly, Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A0080000010a,"멥쌀, 배아미, 생것",357 ,14.9 ,6.5 ,2.0,0.7 ,75.8 ,0.6 ,1.3 ,-,-,-,1.77 ,-,0.55 ,0.52 ,0.70,(0),0,0 ,JAPAN('15),16,A0080000010a,"멥쌀, 배아미, 생것",7 ,0.9 ,51 ,150 ,150 ,1 ,1.6 ,0.22 ,1.54 ,2 ,57 ,0,(0),(0),(0),1.0 ,(0),0.23 ,0.03 ,3.1,1.00,0.22 ,3.3 ,18 ,(0),(0),JAPAN('15)
,,"Rice, White, With embryo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, With embryo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
