,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Lime juice, Natural fruit juice",,,,,,,,,,,,,,,,,,,,,,,"Lime juice, Natural fruit juice",,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,H1150000007a,"라즈베리, 냉동",52 ,85.75 ,1.20 ,0.65 ,0.46 ,11.94 ,4.42 ,6.5 ,-,-,-,0 ,-,-,-,-,0 ,0 ,-,USDA('15),1297,H1150000007a,"라즈베리, 냉동",25 ,0.69 ,22 ,29 ,151 ,1 ,0.42 ,0.090 ,0.670 ,0.2 ,-,-,0 ,12 ,0 ,3.39 ,7.8 ,0.032 ,0.038 ,0.598,0.329 ,0.055 ,-,21 ,0 ,26.2 ,USDA('15)
,,"Raspberries, Frozen, Unsweetened ",,,,,,,,,,,,,,,,,,,,,,,"Raspberries, Frozen, Unsweetened ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,H1150000000a,"라즈베리, 생것",52 ,85.75 ,1.20 ,0.65 ,0.46 ,11.94 ,4.42 ,6.5 ,-,-,-,0.458 ,-,0.019 ,0.064 ,0.375 ,0 ,0 ,4 ,USDA('15),1298,H1150000000a,"라즈베리, 생것",25 ,0.69 ,22 ,29 ,151 ,1 ,0.42 ,0.090 ,0.670 ,0.2 ,-,-,0 ,12 ,0 ,3.39 ,7.8 ,0.032 ,0.038 ,0.598,0.329 ,0.055 ,-,21 ,0 ,26.2 ,USDA('15)
,,"Raspberries, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Raspberries, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,H123000E01Ra,"람부탄, 통조림",82 ,78.04 ,0.65 ,0.21 ,0.23 ,20.87 ,-,0.9 ,-,-,-,0 ,-,-,-,-,0 ,0 ,-,USDA('15),1299,H123000E01Ra,"람부탄, 통조림",22 ,0.35 ,7 ,9 ,42 ,11 ,0.08 ,0.066 ,0.343 ,-,-,-,0 ,2 ,-,-,-,0.013 ,0.022 ,1.352,0.018 ,0.020 ,-,8 ,0 ,4.9 ,USDA('15)
,,"Rambutan, Canned, syrup",,,,,,,,,,,,,,,,,,,,,,,"Rambutan, Canned, syrup",,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,H0240000000a,"레몬, 생것",28 ,89.6 ,0.71 ,0.08 ,0.31 ,9.30 ,1.88 ,1.0 ,439 ,125 ,314 ,0.08 ,0.05 ,0.02 ,0.01 ,0.05 ,0 ,0 ,37 ,농진청('14),1300,H0240000000a,"레몬, 생것",32 ,0.10 ,8 ,22 ,122 ,2 ,0.13 ,0.034 ,0.019 ,3.81 ,0.41 ,0 ,0 ,0 ,0 ,0.60 ,0 ,0.058 ,0.064 ,0.544,0.221 ,0.004 ,0 ,40 ,0 ,52.07 ,농진청('14)
,,"Lemon, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Lemon, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,H0250000009a,레몬 과즙,26 ,90.5 ,0.4 ,0.2 ,0.3 ,8.6 ,3.1 ,Tr,-,-,-,(0.05),-,(0.02),(0.01),(0.03),0,0,0 ,JAPAN('15),1301,H0250000009a,레몬 과즙,7 ,0.1 ,8 ,9 ,100 ,2 ,0.1 ,0.02 ,0.03 ,-,-,-,(0),0,(0),0.1 ,(0),0.04 ,0.02 ,0.1,0.18 ,0.05 ,-,19 ,(0),50 ,JAPAN('15)
,,"Lemon, Fruit juice ",,,,,,,,,,,,,,,,,,,,,,,"Lemon, Fruit juice ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,H0260000000a,"롱안, 생것",60 ,82.75 ,1.31 ,0.10 ,0.70 ,15.14 ,-,1.1 ,957 ,-,-,0 ,-,-,-,-,0 ,0 ,47 ,USDA('15),1302,H0260000000a,"롱안, 생것",1 ,0.13 ,10 ,21 ,266 ,0 ,0.05 ,0.169 ,0.052 ,-,-,-,-,-,-,-,-,0.031 ,0.140 ,0.300,-,-,-,-,0 ,84.0 ,USDA('15)
,,"Longan(Dimocarpus longan Lour.), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Longan(Dimocarpus longan Lour.), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,H0260000001a,"롱안, 말린것",286 ,17.60 ,4.90 ,0.40 ,3.10 ,74.00 ,-,-,3577 ,-,-,-,-,-,-,-,0 ,0.1 ,64 ,USDA('15),1303,H0260000001a,"롱안, 말린것",45 ,5.40 ,46 ,196 ,658 ,48 ,0.22 ,0.807 ,0.248 ,-,-,-,0 ,-,-,-,-,0.040 ,0.500 ,1.000,-,-,-,-,0 ,28.0 ,USDA('15)
,,"Longan(Dimocarpus longan Lour.), Dried ",,,,,,,,,,,,,,,,,,,,,,,"Longan(Dimocarpus longan Lour.), Dried ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,H0270000000a,"리치, 생것",63 ,82.1 ,1.0,0.1 ,0.4 ,16.4 ,14.9 ,0.9 ,731 ,-,-,(0.08),-,(0.02),(0.03),(0.03),0,0,30 ,JAPAN('15),1304,H0270000000a,"리치, 생것",2 ,0.2 ,13 ,22 ,170 ,Tr,0.2 ,0.14 ,0.17 ,-,-,-,(0),0,(0),0.1 ,(0),0.02 ,0.06 ,1.0,0,0.09 ,-,100 ,0,36 ,JAPAN('15)
,,"Lychee(Litchi chinensis Sonn.), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Lychee(Litchi chinensis Sonn.), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,H0270000007a,"리치, 냉동",56 ,84.3 ,0.85 ,0.08 ,0.30 ,14.47 ,12.21 ,2.1 ,616 ,216 ,400 ,0.07 ,0.03 ,0.02 ,0.02 ,0.03 ,0 ,0 ,31 ,농진청('15),1305,H0270000007a,"리치, 냉동",3 ,0.18 ,12 ,24 ,151 ,2 ,0.17 ,0.124 ,0.116 ,0.39 ,1.35 ,0 ,0 ,0 ,0 ,0.08 ,0 ,0.025 ,0.094 ,0.208,0 ,0.046 ,0 ,36 ,0 ,7.88 ,농진청('15)
,,"Lychee(Litchi chinensis Sonn.), Frozen",,,,,,,,,,,,,,,,,,,,,,,"Lychee(Litchi chinensis Sonn.), Frozen",,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,H0280000000a,"망고, 생것",61 ,82.9 ,0.72 ,0.10 ,0.31 ,15.97 ,5.35 ,1.7 ,637 ,290 ,347 ,0.10 ,0.03 ,0.03 ,0.04 ,0.03 ,0 ,0 ,32 ,농진청('14),1306,H0280000000a,"망고, 생것",7 ,0.18 ,12 ,17 ,142 ,0 ,0.14 ,0.098 ,0.257 ,0.49 ,0.49 ,0 ,0 ,1392 ,0 ,0.17 ,0 ,0.035 ,0.054 ,0.299,0 ,0.150 ,0 ,14 ,0 ,14.85 ,농진청('14)
,,"Mango, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Mango, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,H0280010000a,"망고, 애플망고, 생것",49 ,86.1 ,0.5 ,0 ,0.2 ,13.2 ,-,0.6 ,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('09),1307,H0280010000a,"망고, 애플망고, 생것",6 ,0.2 ,-,10 ,59 ,2 ,-,-,-,-,-,-,0 ,166 ,-,-,-,0.08 ,0.05 ,0.1,-,-,-,-,-,28 ,농진청('09)
,,"Mango, Apple mango, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Mango, Apple mango, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,H108000E019a,"망고 주스, 가당",28 ,92.2 ,0.04 ,0.01 ,0.04 ,7.71 ,6.26 ,0 ,4 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('16),1308,H108000E019a,"망고 주스, 가당",4 ,0.02 ,1 ,1 ,11 ,9 ,0 ,0.001 ,0.010 ,0.03 ,0.10 ,0 ,0 ,129 ,0 ,0.53 ,0 ,0 ,0.003 ,0 ,0.157 ,0.007 ,0 ,0 ,0 ,13.77 ,농진청('16)
,,"Mango juice, Sweetened ",,,,,,,,,,,,,,,,,,,,,,,"Mango juice, Sweetened ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,H1160000000a,"망고스틴, 생것",67 ,81.5 ,0.6 ,0.2 ,0.2 ,17.5 ,-,1.4 ,-,-,-,-,-,-,-,-,0,0,70 ,JAPAN('15),1309,H1160000000a,"망고스틴, 생것",6 ,0.1 ,18 ,12 ,100 ,1 ,0.2 ,0.07 ,0.35 ,1 ,0,0,(0),0,(0),0.9 ,(0),0.11 ,0.03 ,0.5,0.33 ,0.04 ,0.6 ,20 ,0,3 ,JAPAN('15)
,,"Mangosteen, Raw",,,,,,,,,,,,,,,,,,,,,,,"Mangosteen, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,H0290000000a,"매실, 생것",41 ,89.4 ,1.1 ,1.1 ,0.6 ,7.8 ,-,-,-,-,-,-,-,-,-,-,-,0 ,-,농진청('08),1310,H0290000000a,"매실, 생것",28 ,3.7 ,-,24 ,301 ,3 ,-,-,-,-,-,-,0 ,14 ,-,-,-,0.06 ,0.02 ,0.5,-,-,-,-,-,11 ,농진청('08)
,,"Japanese apricot(Prunus mume Siebold & Zucc.), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Japanese apricot(Prunus mume Siebold & Zucc.), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,H0290010000a,"매실, 선암매, 생것",39 ,89.4 ,1.2 ,0.7 ,0.7 ,8.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,19 ,농진청('10),1311,H0290010000a,"매실, 선암매, 생것",13 ,0.7 ,-,21 ,341 ,1 ,-,-,-,-,-,-,0 ,234 ,-,-,-,0.06 ,0.04 ,0.5,-,-,-,-,-,6 ,농진청('10)
,,"Japanese apricot(Prunus mume Siebold & Zucc.), Seonammae, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Japanese apricot(Prunus mume Siebold & Zucc.), Seonammae, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,H0290020000a,"매실, 천매, 생것",37 ,90.2 ,0.7 ,0.6 ,0.4 ,8.1 ,-,-,-,-,-,-,-,-,-,-,-,0 ,16 ,농진청('08),1312,H0290020000a,"매실, 천매, 생것",8 ,0.6 ,-,14 ,225 ,2 ,-,-,-,-,-,-,0 ,262 ,-,-,-,0.04 ,0.03 ,0.4,-,-,-,-,-,5 ,농진청('08)
,,"Japanese apricot(Prunus mume Siebold & Zucc.), Cheonmae, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Japanese apricot(Prunus mume Siebold & Zucc.), Cheonmae, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,H030000000Ha,"매실 농축액, 당절임",181 ,54.6 ,0.20 ,0.01 ,0.25 ,44.94 ,35.89 ,0.3 ,150 ,46 ,104 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,0 ,0 ,농진청('16),1313,H030000000Ha,"매실 농축액, 당절임",5 ,0.22 ,6 ,8 ,135 ,2 ,0.02 ,0.004 ,0.079 ,0.21 ,0.11 ,0 ,0 ,0 ,0 ,0 ,0 ,0.028 ,0.053 ,0.063 ,0.466 ,0.009 ,0 ,0 ,0 ,0.57 ,농진청('16)
,,"Japanese apricot(Prunus mume Siebold & Zucc.), Concentrates, Preserved with sugar",,,,,,,,,,,,,,,,,,,,,,,"Japanese apricot(Prunus mume Siebold & Zucc.), Concentrates, Preserved with sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,H031000000Ia,"매실 절임, 염절임",33 ,65.1 ,0.9 ,0.2 ,23.3 ,10.5 ,-,3.6 ,628 ,-,-,(0.14),-,(0.01),(0.10),(0.03),(0),22.1 ,20 ,JAPAN('15),1314,H031000000Ia,"매실 절임, 염절임",65 ,1.0,34 ,21 ,440 ,8700 ,0.1 ,0.11 ,0.23 ,0,1 ,3 ,(0),74 ,(0),2.3 ,(0),0.02 ,0.01 ,0.4,0.12 ,0.05 ,0.7 ,1 ,(0),0,JAPAN('15)
,,"Japanese apricot(Prunus mume Siebold & Zucc.), Salted",,,,,,,,,,,,,,,,,,,,,,,"Japanese apricot(Prunus mume Siebold & Zucc.), Salted",,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,H0320000590a,"머루, 과육, 생것",44 ,86.4 ,0.6 ,0.1 ,1.4 ,11.5 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,농진청('84),1315,H0320000590a,"머루, 과육, 생것",8 ,0.3 ,-,26 ,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06 ,0.03 ,-,-,-,-,-,-,11 ,농진청('84)
,,"Wild grape(Vitis vulpina L.), Flesh, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Wild grape(Vitis vulpina L.), Flesh, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,H032000B050a,"머루, 껍질, 생것",81 ,74.3 ,1.1 ,0.5 ,3.8 ,20.3 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,농진청('84),1316,H032000B050a,"머루, 껍질, 생것",1 ,0.5 ,-,50 ,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12 ,0.03 ,1.0,-,-,-,-,-,16 ,농진청('84)
,,"Wild grape(Vitis vulpina L.), Skin, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Wild grape(Vitis vulpina L.), Skin, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,H0320010000a,"머루, 개량종, 생것",62 ,80.4 ,0.8 ,0.3 ,2.6 ,15.9 ,-,-,-,-,-,-,-,-,-,-,-,-,23 ,농진청('84),1317,H0320010000a,"머루, 개량종, 생것",5 ,0.4 ,-,38 ,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09 ,0.03 ,1.0,-,-,-,-,-,14 ,농진청('84)
,,"Wild grape(Vitis vulpina L.), Improved, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Wild grape(Vitis vulpina L.), Improved, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,H0320030000a,"머루, 머스켓베일리에이, 생것 ",81 ,78.6 ,0.41 ,1.19 ,0.38 ,19.42 ,17.09 ,0.4 ,575 ,328 ,247 ,0.04 ,0.02 ,0.01 ,0.01 ,0.02 ,0 ,0 ,21 ,농진청('15),1318,H0320030000a,"머루, 머스켓베일리에이, 생것 ",4 ,0.18 ,6 ,15 ,210 ,0 ,0.13 ,0.055 ,0.240 ,0 ,0.16 ,4.79 ,0 ,6 ,-,0.17 ,7.82 ,0.200 ,0 ,0,0 ,0.022 ,0.07 ,4 ,0 ,2.19 ,농진청('15)
,,"Wild grape, Muscat Bailey A, Raw",,,,,,,,,,,,,,,,,,,,,,,"Wild grape, Muscat Bailey A, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,H0330000009a,머루 주스,81 ,77.3 ,0.3 ,0.2 ,0.4 ,21.8 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,농진청('87),1319,H0330000009a,머루 주스,4 ,0.6 ,-,63 ,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01 ,0.01 ,0.3,-,-,-,-,-,7 ,농진청('87)
,,Wild grape(Vitis vulpina L.) juice ,,,,,,,,,,,,,,,,,,,,,,,Wild grape(Vitis vulpina L.) juice ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,H0340010000a,"멜론, 감로, 생것",21 ,94.0 ,0.5 ,0.1 ,0.3 ,5.1 ,-,1.2 ,-,-,-,-,-,-,-,-,-,0 ,11 ,농진청('10),1320,H0340010000a,"멜론, 감로, 생것",9 ,0.4 ,-,8 ,137 ,13 ,-,-,-,-,-,-,0 ,40 ,-,-,-,0.05 ,0.01 ,0.5,-,-,-,-,-,-,농진청('10)
,,"Melon, honeydew, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Melon, honeydew, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,H0340020000a,"멜론, 머스크, 생것",40 ,88.1 ,1.50 ,0.04 ,0.72 ,9.64 ,8.26 ,2.0 ,872 ,425 ,447 ,0.04 ,0.02 ,0.01 ,0.01 ,0.02 ,0 ,0 ,38 ,농진청('16),1321,H0340020000a,"멜론, 머스크, 생것",7 ,0.34 ,11 ,19 ,374 ,13 ,0.37 ,0.018 ,0.060 ,0.31 ,1.96 ,0.09 ,0 ,29 ,0 ,0.15 ,0 ,0.032 ,0.033 ,0.170 ,0 ,0.010 ,0 ,21 ,0 ,2.02 ,농진청('16)
,,"Melon, Musk, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Melon, Musk, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,H0340030000a,"멜론, 화이트, 생것",38 ,89.1 ,0.7 ,0.1 ,0.5 ,9.6 ,-,-,-,-,-,-,-,-,-,-,-,0 ,22 ,식약('96),1322,H0340030000a,"멜론, 화이트, 생것",3 ,0.5 ,-,21 ,290 ,10 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.03 ,0.01 ,0.4,-,-,-,-,-,15 ,식약('96)
,,"Melon, White, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Melon, White, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,H0350000000a,"모과, 생것",78 ,78.3 ,0.7 ,0.4 ,0.6 ,20.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,9 ,식약('96),1323,H0350000000a,"모과, 생것",21 ,0.5 ,-,18 ,247 ,2 ,-,-,-,-,-,-,0 ,6 ,-,-,-,0.02 ,0.01 ,0.3,-,-,-,-,-,81 ,식약('96)
,,"Chinese quince(Pseudocydonia sinensis), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Chinese quince(Pseudocydonia sinensis), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,H0360000000a,"무화과, 생것",54 ,84.6 ,0.6 ,0.1 ,0.4 ,14.3 ,10.8 ,1.9 ,451 ,-,-,(0.09),-,(0.02),(0.02),(0.05),(0),0,15 ,JAPAN('15),1324,H0360000000a,"무화과, 생것",26 ,0.3 ,14 ,16 ,170 ,2 ,0.2 ,0.06 ,0.08 ,0,4 ,0,(0),15 ,(0),0.5 ,(0),0.03 ,0.03 ,0.2,0.23 ,0.07 ,0.4 ,22 ,(0),2 ,JAPAN('15)
,,"Fig(Ficus carica L.), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Fig(Ficus carica L.), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,H0360000001a,"무화과, 말린것",319 ,11.9 ,4.75 ,3.01 ,3.12 ,77.22 ,58.92 ,20.8 ,3611 ,1253 ,2358 ,2.89 ,1.95 ,0.41 ,0.46 ,1.96 ,0 ,0 ,0 ,농진청('14),1325,H0360000001a,"무화과, 말린것",458 ,2.02 ,115 ,76 ,925 ,14 ,0.70 ,0.292 ,0.579 ,3.61 ,13.88 ,6.08 ,0 ,43 ,0 ,11.44 ,10.89 ,0.095 ,0.712 ,1.041,0 ,0.028 ,0 ,15 ,0 ,2.30 ,농진청('14)
,,"Fig(Ficus carica L.), Dried ",,,,,,,,,,,,,,,,,,,,,,,"Fig(Ficus carica L.), Dried ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,H036000000Ra,"무화과, 통조림",81 ,79.7 ,0.5 ,0.1 ,0.3 ,19.4 ,-,1.2 ,393 ,-,-,(0.09),-,(0.02),(0.02),(0.05),(0),0,0 ,JAPAN('15),1326,H036000000Ra,"무화과, 통조림",30 ,0.1 ,8 ,13 ,110 ,8 ,0.1 ,0.03 ,0.07 ,-,-,-,0,-,(0),0.2 ,(0),0.02 ,0.02 ,0.1,0,0.05 ,-,10 ,(0),0,JAPAN('15)
,,"Fig(Ficus carica L.), Canned ",,,,,,,,,,,,,,,,,,,,,,,"Fig(Ficus carica L.), Canned ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,H0360010000a,"무화과, 승정도후인, 생것",52 ,85.2 ,0.74 ,0.09 ,0.50 ,13.47 ,11.28 ,1.2 ,612 ,213 ,399 ,0.09 ,0.04 ,0.04 ,0.01 ,0.04 ,0 ,0 ,-,농진청('14),1327,H0360010000a,"무화과, 승정도후인, 생것",41 ,0.33 ,16 ,19 ,176 ,0 ,0.14 ,0.024 ,0.158 ,0.42 ,2.41 ,1.79 ,0 ,24 ,0 ,0.26 ,20.26 ,0.091 ,0.096 ,0.202,0 ,0 ,0 ,31 ,0 ,0 ,농진청('14)
,,"Fig(Ficus carica L.), Masui dauphine, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Fig(Ficus carica L.), Masui dauphine, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,H0360010001a,"무화과, 승정도후인, 말린것",254 ,27.4 ,5.1 ,0.9 ,3.0 ,63.6 ,-,-,-,-,-,-,-,-,-,-,-,0 ,-,농진청('09),1328,H0360010001a,"무화과, 승정도후인, 말린것",265 ,1.3 ,-,133 ,1225 ,9 ,-,-,-,-,-,-,0 ,14 ,-,-,-,0.26 ,0.21 ,1.7,-,-,-,-,-,0 ,농진청('09)
,,"Fig(Ficus carica L.), Masui dauphine, Dried ",,,,,,,,,,,,,,,,,,,,,,,"Fig(Ficus carica L.), Masui dauphine, Dried ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,H0360020000a,"무화과, 봉래시, 생것",45 ,87.1 ,0.82 ,0.11 ,0.46 ,11.51 ,10.77 ,1.4 ,640 ,198 ,442 ,0.10 ,0.06 ,0.03 ,0.01 ,0.06 ,0 ,0 ,-,농진청('14),1329,H0360020000a,"무화과, 봉래시, 생것",36 ,0.31 ,14 ,19 ,177 ,0 ,0.12 ,0.063 ,0.055 ,0.47 ,3.12 ,2.97 ,0 ,24 ,0 ,0.34 ,0 ,0.061 ,0.073 ,0.212,0 ,0 ,0 ,33 ,0 ,2.93 ,농진청('14)
,,"Fig(Ficus carica L.), Horaish, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Fig(Ficus carica L.), Horaish, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,H0370000000a,"바나나, 생것",84 ,76.1 ,1.10 ,0.10 ,0.76 ,21.94 ,14.63 ,1.9 ,913 ,460 ,453 ,0.09 ,0.03 ,0.04 ,0.02 ,0.03 ,0 ,0 ,60 ,농진청('14),1330,H0370000000a,"바나나, 생것",7 ,0.29 ,28 ,26 ,346 ,0 ,0.19 ,0.085 ,0.133 ,0.27 ,6.19 ,0 ,0 ,25 ,0 ,0.14 ,0 ,0.049 ,0.075 ,0.493,0 ,0.085 ,0 ,3 ,0 ,5.94 ,농진청('14)
,,"Banana, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Banana, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,H0370000001a,"바나나, 말린것",299 ,14.3 ,3.8 ,0.4 ,3.0,78.5 ,-,7.0,2837 ,-,-,(0.22),-,(0.12),(0.03),(0.07),(0),0,0 ,JAPAN('15),1331,H0370000001a,"바나나, 말린것",26 ,1.1 ,92 ,84 ,1300 ,1 ,0.6 ,0.25 ,1.31 ,-,-,-,(0),670 ,(0),1.4 ,(0),0.07 ,0.12 ,1.4,1.13 ,1.04 ,-,34 ,(0),Tr,JAPAN('15)
,,"Banana, Dried ",,,,,,,,,,,,,,,,,,,,,,,"Banana, Dried ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,H0370000001j,"바나나, 튀긴것",517 ,1.6 ,2.07 ,25.67 ,1.34 ,69.32 ,16.10 ,17.3 ,1845 ,764 ,1081 ,24.20 ,0.50 ,22.06 ,1.62 ,0.50 ,0 ,0 ,0 ,농진청('14),1332,H0370000001j,"바나나, 튀긴것",19 ,0.50 ,88 ,72 ,534 ,1 ,0.43 ,0.128 ,1.523 ,0.93 ,11.01 ,1.53 ,0 ,263 ,0 ,0.39 ,16.62 ,0.002 ,0.166 ,1.092,0 ,0.055 ,0 ,39 ,0 ,10.49 ,농진청('14)
,,"Banana, Fried",,,,,,,,,,,,,,,,,,,,,,,"Banana, Fried",,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,H0380010000a,"배, 돌배, 생것",46 ,87.1 ,0.3 ,0.1 ,0.2 ,12.3 ,-,1.8 ,-,-,-,-,-,-,-,-,-,0 ,22 ,농진청('11),1333,H0380010000a,"배, 돌배, 생것",3 ,0.4 ,-,17 ,100 ,0 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.04 ,0.02 ,0.3,-,-,-,-,-,-,농진청('11)
,,"Pear, Wild pear, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Pear, Wild pear, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,H038001B030a,"배, 돌배, 껍질 포함, 생것",48 ,86.5 ,0.4 ,0.1 ,0.2 ,12.8 ,-,2.1 ,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('11),1334,H038001B030a,"배, 돌배, 껍질 포함, 생것",5 ,0.4 ,-,16 ,100 ,0 ,-,-,-,-,-,-,0 ,52 ,-,-,-,0.05 ,0.02 ,0.3,-,-,-,-,-,-,농진청('11)
,,"Pear, Wild pear, With skin, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Pear, Wild pear, With skin, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,H0380020000a,"배, 백운배, 생것",39 ,88.9 ,0.3 ,0.1 ,0.3 ,10.4 ,-,3.3 ,-,-,-,-,-,-,-,-,-,0 ,21 ,농진청('10),1335,H0380020000a,"배, 백운배, 생것",4 ,0.4 ,-,11 ,169 ,1 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.07 ,0.03 ,0.5,-,-,-,-,-,6 ,농진청('10)
,,"Pear, Baekwoon, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Pear, Baekwoon, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
