번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
1575,채소류,"좀홍당무, 뿌리, 생것 ",100,18,4.1,0.5,0.1,2.7,19,0,0.01,0,2017
1576,채소류,"죽순 가공(통조림), 통조림 ",100,16,2.8,1.3,0.3,0,2,0,0,0,2011
1577,채소류,"죽순 가공(통조림), 통조림 ",100,14,2.8,1.3,0.3,N/A,2,N/A,N/A,0,2017
1578,채소류,"죽순, 데친것 ",100,30,5.5,3.2,0.3,0,6,0,0,0,2011
1579,채소류,"죽순, 데친것 ",100,27,5.5,3.2,0.3,N/A,6,N/A,N/A,0,2017
1580,채소류,"죽순, 마른것 ",100,243,52.8,13.8,2.5,0,N/A,0,0,0,2011
1581,채소류,"줄나물, 마른것 ",100,236,41.9,29.7,1.7,0,N/A,0,0,0,2011
1582,채소류,"줄나물, 마른것 ",100,222,41.9,29.7,1.7,N/A,N/A,N/A,N/A,0,2017
1583,채소류,"진달래 꽃, 생것 ",100,26,6.3,1,0.1,0,17,0,0,0,2011
1584,채소류,"진달래 꽃, 생것 ",100,20,6.3,1,0.1,N/A,17,N/A,N/A,0,2017
1585,채소류,"질경이, 데친것 ",100,45,10.7,2.4,0.1,0,14,0,0,0,2011
1586,채소류,"질경이, 데친것 ",100,36,10.7,2.4,0.1,N/A,14,N/A,N/A,0,2017
1587,채소류,"질경이, 생것 ",100,48,10.8,3,0.2,0,16,0,0,0,2011
1588,채소류,"질경이, 생것 ",100,39,10.8,3,0.2,N/A,16,N/A,N/A,0,2017
1589,채소류,"참나물, 마른것, 재배 ",100,308,71.6,8.5,3.8,0,N/A,0,0,0,2011
1590,채소류,"참나물, 마른것, 재배 ",100,237,71.6,8.5,3.8,N/A,N/A,N/A,N/A,0,2017
1591,채소류,"참나물, 생것, 재배 ",100,35,7.5,3.1,0.1,0,24,0,0,0,2011
1592,채소류,"참나물, 생것, 재배 ",100,17,4.09,1.58,0.19,0,18,0,0.04,0,2017
1593,채소류,"참반디, 마른것 ",100,288,65.7,12.6,2.7,0,6,0,0,0,2011
1594,채소류,"참반디, 마른것 ",100,228,65.7,12.6,2.7,N/A,6,N/A,N/A,0,2017
