번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),연도
2658,제빵,초콜릿케익(화이트)5호,62,151.28,15.5,1.86,8.68,11.78,69.44,37.82,4.34,0,2015
2659,제빵,초콜릿케익(화이트)단1호,58,128.18,13.92,1.74,8.12,9.28,27.84,42.34,4.06,0,2015
2660,제빵,초콜릿케익(화이트)단2호,59,131.57,14.16,1.77,8.26,9.44,28.32,44.25,4.13,0,2015
2661,제빵,초콜릿케익(화이트)단4호,54,112.86,10.8,1.62,7.56,7.56,25.38,34.02,3.78,0,2015
2662,제빵,초콜릿케익(화이트)미니,51,109.14,10.2,1.02,7.14,7.65,41.31,20.4,3.57,0,2015
2663,제빵,촉촉한 고구마케익,80,236,29.6,4,12,16.8,60,64,4.8,0,2015
2664,제빵,촉촉한 옥수수크럼블,60,93,10.8,2.4,3.6,8.4,162,60,0.96,0,2015
2665,제빵,촉촉한 치즈케익,80,236,29.6,4,12,16.8,72,64,4.8,0,2015
2666,제빵,촉촉한 치즈케익(우유),80,236,28,4,12,14.4,84,64,4,0,2015
2667,제빵,촉촉한 크림치즈브레드,83,211.65,0,4.98,0,7.47,273.9,0,4.98,0,2015
2668,제빵,촉촉한초코케익,62,151.9,19.84,3.1,6.82,13.64,117.8,71.3,2.79,0,2015
2669,제빵,촉촉한치즈머핀,56,122.64,13.44,1.68,6.72,6.16,115.92,24.08,1.68,0,2015
2670,제빵,촉촉한케익,62,142.6,18.6,3.1,6.2,11.78,99.2,40.3,2.11,0,2015
2671,제빵,쵸코가나쉬,50,100,9,1.5,6.5,6.5,23,28,3.5,0,2015
2672,제빵,쵸코블러섬,55,114.95,11,1.65,7.15,7.7,26.95,36.3,3.85,0,2015
2673,제빵,쵸코크림브레드,114,370.5,69.54,7.98,7.3,20.52,315.78,4.56,3.76,0,2015
2674,제빵,쵸콜릿케이크(쵸코)2호,55,116.6,11.55,1.65,7.15,8.25,24.2,36.85,3.85,0,2015
2675,제빵,쵸콜릿케이크(쵸코)미니,50,102,9.5,1.5,6.5,7,20,27.5,3.5,0,2015
2676,제빵,추억의 김치고로케,115,454.25,0,12.65,0,6.9,908.5,0,3.91,0,2015
2677,제빵,추억의 단팥빵,80,193.6,39.2,5.6,1.6,4.8,96,8.8,0.88,0,2015
2678,제빵,추억의 사라다 고로케,133,532,0,10.64,0,11.97,478.8,0,7.98,0,2015
2679,제빵,출동!로보카폴리와친구들,69,189.75,0,2.07,0,9.66,79.35,0,5.52,0,2015
2680,제빵,치즈 풀어파츠,110,121,62.7,12.1,5.5,1.1,422.4,0,2.2,0,2015
2681,제빵,치즈가부드러운시간,100,347.68,27.13,7.04,23.45,3.73,110.53,0,7.19,0,2013
2682,제빵,치즈감자고로케,58,92.8,0,1.74,0,2.9,156.6,0,0.81,0,2015
2683,제빵,치즈머핀,75,225,27,3,12,16.5,172.5,67.5,1.5,0.38,2015
2684,제빵,치즈베이글,60,117,18,6,2.4,2.4,306,8.4,1.5,0,2015
2685,제빵,치즈브레드,60,114,0,4.2,0,1.8,102,0,3,0,2015
2686,제빵,치즈소시지베이글,65,126.75,13,5.85,2.28,1.3,312,5.85,2.28,0,2015
2687,제빵,치즈앤치즈머핀,90,369,30.6,5.4,25.2,18,621,88.2,3.96,0.45,2015
2688,제빵,치즈앤치즈붓세,45,76.5,9.9,1.35,3.6,5.4,36,45,1.8,0,2015
2689,제빵,치즈야채롤,100,364.38,41.66,9.02,17.96,6.12,521.95,0,3.31,0,2013
2690,제빵,치즈야채식빵,73,146,0,2.92,0,2.92,226.3,0,0.73,0,2015
2691,제빵,치즈츄이스티,50,112.5,14.5,1,6,5,95,13,1.95,0,2015
2692,제빵,치즈카스테라,80,224,28,4.8,10.4,17.6,176,140,6.4,0.4,2015
2693,제빵,치즈케이크,70,250,15,5,19,14,110,110,2,0.04,2012
2694,제빵,치즈파운드 1줄,57,124.83,13.11,2.28,7.41,6.27,112.86,37.62,3.99,0,2015
