번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),연도
609,김치류,열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0,2012
610,김치류,오이소박이,50,17.38,2.45,0.85,0.47,0.14,266,0.88,0.04,0,2010
611,김치류,총각김치,50,18.63,2.82,1.16,0.3,0.79,337.76,0.9,0.06,0,2009
612,김치류,파김치,50,29.54,4.54,1.49,0.6,1.13,408.05,2.17,0.07,0,2010
613,젓갈류,간장게장,250,302.16,12.84,37.69,11.12,5.9,3220.82,378.79,2.63,0.23,2011
614,젓갈류,양념게장,200,279.63,42.05,23.92,1.75,17.04,1775.08,135.41,0.61,0.02,2011
615,장아찌/절임류,고추장아찌,30,21.63,3.95,0.77,0.31,2.42,773.52,0.09,0.03,0,2010
616,장아찌/절임류,깻잎장아찌,30,35.32,6.88,1.03,0.41,2.88,546.72,0.44,0.04,0,2010
617,장아찌/절임류,마늘장아찌,30,16.84,2.96,0.9,0.15,1.28,487.97,0.02,0.01,0,2010
618,장아찌/절임류,매실장아찌,30,72.88,17.43,0.5,0.13,11.45,337.86,0,0.02,0,2012
619,장아찌/절임류,무장아찌,30,23.92,5.03,0.44,0.23,2.88,879.81,0.04,0.01,0,2010
620,장아찌/절임류,양배추 깻잎 피클,64,15.26,3.83,0.43,0.08,0,334.73,0,0,0,2008
621,장아찌/절임류,양파장아찌,100,39.4,7.63,1.11,0.49,5.55,703,0,0.01,0,2013
622,장아찌/절임류,오이피클,20,18.4,5.06,0.12,0.06,0,133.4,0,0,0,2008
623,유제품류 및 빙과류,복숭아샤벳,270,146.21,39.18,1.57,0.3,0,8.61,0,0,0,2008
624,유제품류 및 빙과류,서양식 씨리얼(뮤즐리),105,158.6,25.76,5.25,4.76,0,27.14,0,0,0,2008
625,유제품류 및 빙과류,식혜 팥빙수,150,135.85,33.08,3.66,0.01,0,5.36,0,0,0,2008
626,유제품류 및 빙과류,홍시쉐이크,120,69.72,18.29,1.15,0.56,0,4.76,0,0,0,2008
627,음료 및 차류,수정과,150,133.5,20.4,0.6,5.4,20.7,9.72,0,0,0.15,2013
628,음료 및 차류,식혜,150,130.5,24.3,2.25,2.7,17.1,3.38,0,0,0,2013
629,음료 및 차류,우유생강차,200,108,15.66,5.98,2.82,0,184.94,0,0,0,2008
630,과일류,복숭아화채,101,72.8,16.7,1.35,1.1,0,1.69,0,0,0,2008
631,과일류,수박화채,210,125.83,28.37,3.4,0.74,0,2.18,0,0,0,2008
632,과일류,오렌지,200,44.44,11.11,0,0,11.12,22.22,0,0,0,2017
633,당류,과일 젤리,160,140.45,34.99,1.31,0.18,0,25.3,0,0,0,2008
634,당류,두부양갱,82,66.62,11.9,2.84,1.68,0,2.54,0,0,0,2008
635,당류,딸기잼,20,48.6,12.58,0.08,0.02,0,0.6,0,0,0,2008
636,"곡류, 서류 제품",가래떡,100,208.2,47.49,3.81,0.33,0,256.96,0,0.17,0,2010
637,"곡류, 서류 제품",고구마경단,100,208.96,44.01,2.8,3.56,0,50.51,0,0,0,2008
638,"곡류, 서류 제품",고구마란,92,165.97,35.59,2.82,2.76,0,12.69,0,0,0,2008
639,"곡류, 서류 제품",고구마쑥단자,80,149.93,32.7,3.93,1.14,0,7.71,0,0,0,2008
640,"곡류, 서류 제품",고추 장떡,103,250.36,41.24,6.86,5.8,0,110.68,0,0,0,2008
641,"곡류, 서류 제품",김치떡,145,301.77,53.3,13.47,3.42,0,293.33,0,0,0,2008
642,"곡류, 서류 제품",꿀떡,100,217.8,48.86,3.82,0.79,2.6,250.9,0.43,0.24,0,2009
643,"곡류, 서류 제품",녹두시루떡,100,246,48.1,7.7,2.5,4,263.66,0,0.5,0,2013
644,"곡류, 서류 제품","떡, 메밀전병 ",100,168,21.6,6.2,6.3,0.6,345.8,8.05,1.2,0,2013
645,"곡류, 서류 제품","떡, 송편(깨) ",100,224,45,4.9,2.7,1.1,231.82,0,0.5,0,2013
646,"곡류, 서류 제품","떡, 송편(콩) ",100,194,41.7,5.2,0.7,1.3,233.5,0,0.2,0,2013
647,"곡류, 서류 제품","떡, 수수부꾸미",100,248,42.1,5.7,6.3,0.2,261,0,1,0,2013
648,"곡류, 서류 제품","떡, 수수팥떡 ",100,204,43,6.7,0.6,2.8,241.93,0,0.2,0,2013
649,"곡류, 서류 제품","떡, 쑥떡     ",100,249,57.9,3.4,0.4,10.7,254.32,0,0.2,0,2013
650,"곡류, 서류 제품","떡,경단(깨)  ",100,319,74.2,4.4,0.5,26.6,180,0,0.5,0,2013
651,"곡류, 서류 제품","떡,경단(콩)  ",100,314,74,3.5,0.5,20.6,225.83,0,0.2,0,2013
652,"곡류, 서류 제품","떡,기피편    ",100,220,49,5.4,0.2,2.1,281.06,0,0.1,0,2013
653,"곡류, 서류 제품",모듬옥수수,130,127.26,15,9.85,3.61,0,108.42,0,0,0,2008
654,"곡류, 서류 제품",모듬찰떡,100,222.91,47.38,5.71,1.17,4.61,237.09,0,0.27,0,2010
655,"곡류, 서류 제품",무지개떡,100,228.97,53.01,3.53,0.31,8.98,276.82,0,0.16,0,2010
656,"곡류, 서류 제품",백설기,70,159.79,36.75,2.55,0.29,5.04,202.02,0,0.1,0,2010
657,"곡류, 서류 제품",백설기,70,139.65,31.85,2.45,0,14.7,117.6,0,0,0,2017
658,"곡류, 서류 제품",시루떡,100,217.48,47.54,5.47,0.61,3.22,277.91,0,0.24,0,2009
659,"곡류, 서류 제품",약식,100,244.38,52.33,3.71,2.24,9.67,289.33,0,0.55,0.04,2009
660,"곡류, 서류 제품",인절미,100,220.95,45.39,5.65,1.86,1.93,341.37,0,0.56,0,2009
661,"곡류, 서류 제품",절편,100,192.89,43.94,3.64,0.28,0.07,265.87,0.03,0.19,0,2010
662,"곡류, 서류 제품",증편,100,192.73,44.83,2.66,0.3,6.6,264.17,0,0.16,0,2010
663,"곡류, 서류 제품",찹쌀떡,100,276.87,65.61,3.27,0.15,17.54,225.61,0,0.15,0,2010
664,"두류, 견과 및 종실류",초당순두부(강릉),900,522.69,15.76,49.12,29.24,0.86,1203.35,0,3.83,0,2016
665,"채소, 해조류",닭고기 양배추 쌈,184,193.7,8.92,14.7,11.33,0,68.96,0,0,0,2008
666,"채소, 해조류",참치 소고기 양상추 쌈,120,180.72,24.79,9.31,5.26,0,312.47,0,0,0,2008
667,수조어육류,낙지강회,104,51.65,6.93,6.68,0.46,0,152.59,0,0,0,2008
668,수조어육류,대구포,100,141,2.3,32,0.4,0,3875.95,107.15,0.2,0,2013
669,수조어육류,"돼지고기, 머리고기",100,324.88,1.74,21.22,26,0.03,166.82,85.55,7.6,0.19,2013
670,수조어육류,북어포       ,20,66.4,0.32,15.42,0.38,0.22,128.99,85.02,0.14,0,2013
671,수조어육류,어묵,30,12.72,0.84,0.84,0.66,0.28,36.17,0,0.03,0,2017
672,수조어육류,육회,150,229.91,14.1,22.38,9.33,1.52,447.81,79.09,2.91,0.17,2010
673,햄버거,1955 버거,244,1246.84,0,65.88,0,26.84,2325.32,0,29.28,0,2015
674,햄버거,2014 랏츠버거,220,1132.01,0,50.03,0,21.14,1741.16,0,29.23,0,2015
675,햄버거,辛리브샌드,188,903.06,0,38.82,0,18.94,1644.67,0,13.22,0,2015
676,햄버거,갈릭스테이크하우스버거,100,208.78,0,12.62,0,4.52,371.44,0,4.22,0,2013
677,햄버거,그릴디럭스버거,200,773.4,0,51.64,0,0.84,2148.8,0,9.28,0,2015
678,햄버거,그릴맥스버거,263,1298.93,0,62.36,0,11.67,2609.22,0,19.08,0,2015
679,햄버거,"닭고기,살코기, 치킨텐더즈(4pieces)(버거킹)",100,290,0,17.7,17.7,0,758,0,0,0,2006
680,햄버거,"닭고기,살코기, 치킨텐더즈(6pieces)(버거킹)",100,299,0,18.2,18.2,0,766,0,0,0,2006
681,햄버거,"닭고기,살코기, 치킨텐더즈(9pieces)(버거킹)",100,285,0,17.9,17.9,0,764,0,0,0,2006
682,햄버거,더불치즈버거,100,270.23,0,16.32,0,3.4,592.45,0,7.19,0,2013
683,햄버거,더불치즈와퍼,100,274.49,0,16.69,0,2.76,493.25,0,6.6,0,2013
684,햄버거,더블 디럭스 슈프림버거,272,1398.08,0,57.12,0,27.2,3043.68,0,13.6,0,2015
685,햄버거,더블 쿼터파운더치즈,100,262.04,0,18.57,0,2.34,342.73,0,6.34,0,2013
686,햄버거,더블치즈버거,164,739.64,0,42.64,0,11.48,1823.68,0,21.32,0,2015
687,햄버거,데리버거,132,453.13,0,16.74,0,6.26,808.29,0,7.52,0,2015
688,햄버거,디럭스 슈프림 버거,197,772.24,0,29.55,0,17.73,1737.54,0,9.85,0,2015
689,햄버거,디럭스 치즈버거,171,603.63,0,29.07,0,10.26,1166.22,0,13.68,0,2015
690,햄버거,라이스버거(불고기),225,1124.84,0,43.38,0,11.74,1796.24,0,19.64,0,2015
691,햄버거,랏츠버거,100,295.24,0,13.88,0,1.09,333.8,0,7.45,0,2013
692,햄버거,레이디샌드위치,215,971.8,105.35,47.94,39.34,15.05,1270.65,6.99,10.1,0.47,2015
693,햄버거,로스트 갈릭버거,153,638.55,61.4,24.39,32.82,15.66,1342.04,46.07,10.91,0.05,2015
694,햄버거,로얄그릴드 치킨버거,100,192.11,0,13.27,0,1.71,569.29,0,2.02,0,2013
695,햄버거,리치버거,173,800.99,0,32.87,0,8.65,1313.07,0,10.38,0,2015
696,햄버거,맥더블,150,603,0,34.5,0,9,1312.5,0,15,0,2015
697,햄버거,맥스파이시 더블 케이준 버거,256,1374.72,0,64,0,20.48,2321.92,0,15.36,0,2015
698,햄버거,맥스파이시 상하이 디럭스,240,1147.2,0,62.4,0,16.8,3252,0,14.4,0,2015
699,햄버거,맥스파이시 상하이 버거,228,1014.6,0,52.44,0,13.68,2047.44,0,9.12,0,2015
700,햄버거,맥스파이시 케이준 버거,200,796,0,32,0,16,1250,0,8,0,2015
701,햄버거,맥치킨,163,609.62,0,24.45,0,9.78,1171.97,0,8.15,0,2015
702,햄버거,맥치킨버거,163,612.88,0,26.08,0,8.15,1049.72,0,6.52,0,2015
703,햄버거,미니언 슈비 버거,245,1104.95,0,49,0,19.6,2173.15,0,12.25,0,2015
704,햄버거,바베큐 불고기 버거,164,677.32,0,26.24,0,26.24,1366.12,0,3.28,0,2015
705,햄버거,베이컨 토마토 디럭스버거,242,1246.3,0,65.34,0,36.3,2717.66,0,29.04,0,2015
706,햄버거,베이컨갈릭징거버거,232,1036.13,0,54.18,0,13.45,2543.06,0,17.59,0,2015
707,햄버거,불갈비버거,162,645.84,64.95,27.95,30.47,22.12,1352.09,50.15,11.47,0.68,2015
708,햄버거,불고기버거,100,294.08,0,12.35,0,5.26,353.8,0,5.01,0,2013
709,햄버거,불고기버거,154,601,0,26.52,0,12.61,1098.67,0,11.36,0,2015
710,햄버거,불고기버거,155,621.55,0,26.35,0,20.15,1063.3,0,3.1,0,2015
711,햄버거,불고기버거,167,641.28,78.49,20.88,26.72,12.19,794.92,4.46,7.18,0.2,2015
712,햄버거,불고기와퍼쥬니어,158,601.13,56.42,28.71,28.96,5.72,827.06,38.19,11.96,0.05,2015
713,햄버거,불고기치킨 크리스피 버거,100,302.49,0,10,0,3.47,588.79,0,3.97,0,2013
714,햄버거,불고기크리스피치킨버거,140,617.4,57.4,22.4,33.6,10.08,1132.6,42,7.84,0.28,2015
715,햄버거,불새버거,191,937.03,0,38.07,0,12.15,1725.16,0,12.14,0,2015
716,햄버거,빅맥,213,1086.3,0,55.38,0,14.91,2155.56,0,25.56,0,2015
717,햄버거,"빵,크로아쌍, 소시지크라상(버거킹)",100,349,2.6,11.8,27,0,737,0,0,0,2006
718,햄버거,"사이다,사이다, 사이다(R)(버거킹)",100,165,17.6,0,0,0,0,0,0,0,2006
719,햄버거,상하이 스파이스 치킨 버거,100,208.76,0,12.43,0,2.19,544.88,0,1.92,0,2013
720,햄버거,새우버거,162,484.84,0,14.92,0,7.48,943.18,0,5.69,0,2015
721,햄버거,새우버거,158,664.71,0,22.22,0,7.34,1082.62,0,6.31,0,2015
722,햄버거,"소스류,머스터드소스, HoneyMustard(버거킹)",100,321,0,0,21.4,0,536,0,0,0,2006
723,햄버거,쉬림프징거버거,154,687.29,78.5,17.55,33.68,9.01,1542.96,53.74,7.76,0.5,2015
724,햄버거,스위피버거,159,674.16,71.55,23.37,32.12,8.74,620.1,2.1,2.07,0.21,2015
725,햄버거,스파이시 텐더크리스피 버거,100,275.85,0,9.96,0,1.68,577.87,0,4.63,0,2013
726,햄버거,싱글즈불고기 버거,140,519.03,50.04,23.58,24.95,13.84,605.23,31.4,10.66,0.04,2015
727,햄버거,야채라이스불고기,100,222.94,0,7.58,0,0.61,256.89,0,3.02,0,2013
728,햄버거,"양파링튀긴것,양파링튀긴것, 어니언링(L)(버거킹)",100,397,4.6,5.3,19.9,0,583,0,0,0,2006
729,햄버거,"양파링튀긴것,양파링튀긴것, 어니언링(R)(버거킹)",100,404,4.3,5.3,20.2,0,585,0,0,0,2006
730,햄버거,어린이불고기버거,136,503.3,53.55,24.38,21.29,10.41,657.9,45.96,9.19,0.04,2015
731,햄버거,"오렌지쥬스,농축과즙, 오렌지주스(버거킹)",100,150,11,0.7,0,0,0,0,0,0,2006
732,햄버거,오징어버거,140,485.24,0,20.72,0,11.12,804.86,0,7.19,0,2015
733,햄버거,와일드쉬림프버거,203,1073.51,0,31.84,0,11.98,1801.38,0,9.48,0,2015
734,햄버거,와퍼주니어,158,630.42,52.14,26.86,34.76,7.27,900.6,56.88,12.17,0.05,2015
735,햄버거,우리한우버거,100,204.2,0,8.68,0,4.5,277.57,0,3.11,0,2013
736,햄버거,울트라치킨,206,951.72,0,28.84,0,14.21,1643.88,0,10.3,0,2015
737,햄버거,자이언트더블버거,198,973.68,0,45.42,0,15.15,1424.06,0,23.03,0,2015
738,햄버거,징거버거,203,766.67,0,41.89,0,3.92,1907.31,0,10.03,0,2015
739,햄버거,치즈버거,114,345.42,0,18.24,0,6.84,820.8,0,7.98,0,2015
740,햄버거,치즈버거,133,486.78,42.56,25.27,23.94,7.85,1000.16,61.18,11.44,0.05,2015
741,햄버거,치즈버거,143,507.08,0,21.86,0,9.87,948.01,0,11.06,0,2015
742,햄버거,치즈징거버거,216,847.64,0,48.98,0,10.05,2331.61,0,13.5,0,2015
743,햄버거,치킨버거,140,514.29,0,24.17,0,7.17,913.07,0,6.07,0,2015
744,햄버거,치킨불고기버거,160,499.63,0,22.12,0,3.92,957.31,0,6.48,0,2015
745,햄버거,치킨휠레샌드위치,100,193.16,0,13.57,0,2.61,342.25,0,1.67,0,2013
746,햄버거,"커피,여과액, 커피(버거킹)",100,160,0.3,0,0,0,1,0,0,0,2006
747,햄버거,케이준통샌드위치,100,237.34,0,15.98,0,1.5,469.54,0,3.7,0,2013
748,햄버거,"콜라,다이어트콜라, 다이어트(R)(버거킹)",100,4,0.3,0,0,0,0,0,0,0,2006
749,햄버거,"콜라,일반콜라, 코카콜라(R)(버거킹)",100,150,18.6,0,0,0,0,0,0,0,2006
750,햄버거,쿼터파운더치즈,100,266.48,0,16.68,0,2.84,492.15,0,7.08,0,2013
751,햄버거,쿼터파운더치즈버거,197,1030.31,0,61.07,0,13.79,2066.53,0,29.55,0,2015
752,햄버거,타바스코맛샌드위치,155,494.45,55.8,40.61,11.78,13.48,581.25,1.05,3.1,0.17,2015
753,햄버거,텐더그릴치킨,173,646.33,0,26.93,0,13.69,1517.7,0,14.01,0,2015
754,햄버거,텐더그릴치킨버거,100,219.36,0,11.3,0,4.65,373.05,0,4.07,0,2013
755,햄버거,토마토 치즈버거,181,655.22,0,30.77,0,14.48,1538.5,0,14.48,0,2015
756,햄버거,"토마토케첩,토마토케첩, 케첩(버거킹)",100,107,0,0,0,0,1286,0,0,0,2006
757,햄버거,통새우버거,100,199.59,0,6.7,0,4.33,360.27,0,1.89,0,2013
758,햄버거,트위스터,169,664.9,61.41,27.7,34.27,1.86,2876.09,51.52,10.85,0,2015
759,햄버거,"파이,사과파이, 애플파이(버거킹)",100,266,19.5,2.7,13.3,0,204,0,0,0,2006
760,햄버거,한우불고기주니어,180,734.62,0,31.74,0,13.73,1684.97,0,15.88,0,2015
761,햄버거,핫크리스피버거,190,955.7,0,41.8,0,9.5,1765.1,0,13.87,0,2015
762,햄버거,"해쉬브라운,해쉬브라운, 해쉬브라운(버거킹)",100,320,0,2.7,20,0,587,0,0,0,2006
763,햄버거,햄버거,100,254,0,13,0,6,509,0,4,0,2015
764,햄버거,햄버거,121,370.26,38.72,20.57,14.52,7.62,620.73,52.03,7.38,0.05,2015
765,햄버거,"햄버거,일반버거, 더블와퍼(버거킹)",100,264,2.3,14,16.9,0,281,0,0,0,2006
766,햄버거,"햄버거,일반버거, 와퍼(버거킹)",100,244,3,10.7,14.8,0,333,0,0,0,2006
767,햄버거,"햄버거,일반버거, 와퍼쥬니어(버거킹)",100,253,3.2,12,15.2,0,335,0,0,0,2006
768,햄버거,"햄버거,일반버거, 햄버거(버거킹)",100,267,3.3,15.8,12.5,0,433,0,0,0,2006
769,햄버거,"햄버거,치즈버거, 베이컨더블치즈버거(버거킹)",100,301,2.4,19.9,18.4,0,597,0,0,0,2006
770,햄버거,"햄버거,치즈버거, 치즈버거(버거킹)",100,271,3,15.8,14.3,0,571,0,0,0,2006
771,햄버거,"햄버거,치즈버거, 치즈와퍼햄버거(버거킹)",100,258,2.7,11.9,16.3,0,468,0,0,0,2006
772,햄버거,"햄버거,치킨버거, 치킨버거(버거킹)",100,310,1.7,11.4,18.8,0,611,0,0,0,2006
773,햄버거,"햄버거,치킨버거, 치킨와퍼(버거킹)",100,215,2,11.7,10.5,0,429,0,0,0,2006
774,햄버거,"햄버거,휘시버거, BK휘시휠레햄버거(버거킹)",100,286,1.6,9.1,17.1,0,468,0,0,0,2006
775,햄버거,"후렌치후라이,가공품, 일반,후렌치후라이(L)(버거킹)",100,347,0,2.9,17.6,0,694,0,0,0,2006
776,햄버거,"후렌치후라이,가공품, 일반,후렌치후라이(R)(버거킹)",100,345,0,2.6,18.1,0,707,0,0,0,2006
777,햄버거,휠레샌드위치,195,764.4,62.4,41.53,38.61,14.23,916.5,2.87,7.8,0.33,2015
778,피자,2in1(한우불고기+밤스위트골드) F,169,737.26,0,47.02,0,9.46,482.16,0,12.34,0,2015
779,피자,2in1(한우불고기+밤스위트골드) L,156,662.84,0,39.89,0,6.07,363.07,0,12.14,0,2015
780,피자,2in1(한우불고기+밤스위트골드) R,117,382.55,0,23.45,0,3.35,210.32,0,6.84,0,2015
781,피자,SOME(썸)  로스트 치킨파오(L),195,811.2,0,46.8,0,19.5,1684.8,0,17.55,0,2015
782,피자,SOME(썸)  로스트 치킨파오(M),105,247.8,0,13.65,0,5.25,506.1,0,5.25,0,2015
783,피자,SOME(썸) BBQ 콤보(L),176,661.76,0,40.48,0,8.8,1351.68,0,14.08,0,2015
784,피자,SOME(썸) BBQ 콤보(M),181,731.24,0,45.25,0,9.05,1435.33,0,16.29,0,2015
785,피자,SOME(썸) 더블 포테이토(L),197,880.59,0,43.34,0,23.64,1546.45,0,15.76,0,2015
786,피자,SOME(썸) 더블 포테이토(M),106,265,0,12.72,0,6.36,457.92,0,5.3,0,2015
787,피자,SOME(썸) 발사믹 로스트 비프(L),181,611.78,0,41.63,0,9.05,1335.78,0,12.67,0,2015
788,피자,SOME(썸) 발사믹 로스트 비프(M),185,682.65,0,46.25,0,7.4,1439.3,0,14.8,0,2015
789,피자,SOME(썸) 수퍼슈프림(L),171,630.99,0,37.62,0,5.13,1332.09,0,15.39,0,2015
790,피자,SOME(썸) 수퍼슈프림(M),174,685.56,0,41.76,0,5.22,1405.92,0,15.66,0,2015
791,피자,SOME(썸) 직화 불고기(L),169,613.47,0,37.18,0,8.45,1167.79,0,13.52,0,2015
792,피자,SOME(썸) 직화 불고기(M),173,674.7,0,41.52,0,8.65,1249.06,0,15.57,0,2015
793,피자,SOME(썸) 칠리 쉬림프(L),169,566.15,0,38.87,0,11.83,1066.39,0,13.52,0,2015
794,피자,SOME(썸) 칠리 쉬림프(M),182,684.32,0,47.32,0,12.74,1266.72,0,14.56,0,2015
795,피자,SOME(썸) 페퍼로니(L),123,398.52,0,22.14,0,2.46,806.88,0,9.84,0,2015
796,피자,SOME(썸) 페퍼로니(M),132,459.36,0,26.4,0,2.64,888.36,0,11.88,0,2015
797,피자,SOME(썸) 허니크림치즈(L),124,446.4,0,22.32,0,8.68,667.12,0,14.88,0,2015
798,피자,SOME(썸) 허니크림치즈(M),136,533.12,0,27.2,0,8.16,803.76,0,16.32,0,2015
799,피자,갈릭스테이크 (씬) M,100,237.76,0,16.68,0,3.23,415.82,0,5.91,0,2013
800,피자,"갈릭스테이크피자 (씬, L)",123,373.18,0,23.86,0,4,687.69,0,9.47,0,2015
801,피자,"갈릭스테이크피자 (씬, M)",128,433.79,0,28.54,0,5.07,762.62,0,11.78,0,2015
802,피자,"갈릭스테이크피자 (오리지널, L)",166,641.59,0,35.03,0,7.87,1201.01,0,11.45,0,2015
803,피자,"갈릭스테이크피자 (오리지널, M)",178,757.75,0,46.64,0,7.42,1444.65,0,14.95,0,2015
804,피자,갈릭스테이크피자 씬L,144,537.12,0,31.68,0,10.08,804.96,0,12.96,0,2015
805,피자,갈릭스테이크피자 씬XL,180,838.8,0,50.4,0,16.2,1256.4,0,19.8,0,2015
806,피자,갈릭스테이크피자 팬L,182,848.12,0,50.96,0,9.1,1292.2,0,10.92,0,2015
807,피자,갈릭치킨바베큐 피자,103,261,0,12.67,0,2.68,404.89,0,3.81,0,2015
808,피자,감자피자 씬'XL,124,438.96,0,17.36,0,4.96,556.76,0,9.92,0,2015
809,피자,감자피자 씬L,148,629,0,25.16,0,5.92,797.72,0,14.8,0,2015
810,피자,감자피자 팬'XL,190,891.1,0,45.6,0,15.2,1476.3,0,15.2,0,2015
811,피자,감자피자 팬L,152,570,0,28.88,0,9.12,943.92,0,10.64,0,2015
812,피자,감자피자(씬) L,100,285.8,0,12.94,0,2.49,308.03,0,6.28,0,2013
813,피자,게살몽땅(살사소스) 골드 L,166,644.39,0,22.96,0,10.01,671.99,0,14.22,0,2015
814,피자,게살몽땅(살사소스) 골드 R,106,282.08,0,9.03,0,7,268.12,0,6.87,0,2015
815,피자,게살몽땅(살사소스) 오리진 L,115,304.61,0,10.43,0,3.97,292.31,0,5.77,0,2015
816,피자,게살몽땅(살사소스) 오리진 R,182,827.78,0,24.94,0,19.67,706.83,0,17.97,0,2015
817,피자,게살몽땅(살사소스)_Premium gold pizza_L,134,421.42,41.42,13.87,19.81,5.58,431.69,23.77,9,0.56,2015
818,피자,게살몽땅(살사소스)_Premium gold pizza_R,104,252.08,26.35,9.43,10.84,5.31,318.54,12.36,4.34,0.33,2015
819,피자,게살몽땅(살사소스)_Premium orgin pizza_L,107,272.32,26.28,11.43,10.4,5.26,370.83,9.14,4.57,0.29,2015
820,피자,게살몽땅(살사소스)_Premium orgin pizza_R,170,704,69.65,25.43,26.01,13.87,908.33,26.01,10.98,0.72,2015
821,피자,게살통통피자 씬'XL,132,451.44,0,21.12,0,7.92,931.92,0,10.56,0,2015
822,피자,게살통통피자 씬L,158,649.38,0,31.6,0,11.06,1338.26,0,14.22,0,2015
823,피자,게살통통피자 팬L,163,616.14,0,32.6,0,13.04,1325.19,0,4.89,0,2015
824,피자,고구마 바이트 피자,119,351.41,0,10.83,0,8.45,781.59,0,5.12,0,2015
825,피자,고구마 피자,197,977.71,0,28.37,0,20.49,2160.7,0,11.23,0,2015
826,피자,고구마(레귤러2조각),155,664.17,0,34.1,0,8.99,997.11,0,13.48,0,2015
827,피자,고구마(스크린),104,323.13,0,18.72,0,4.99,496.5,0,6.97,0,2015
828,피자,고구마무스바이트(L),131,406.1,0,18.34,0,13.1,615.7,0,6.55,0,2015
829,피자,고구마피자,100,243.81,0,9.19,0,7.59,301.23,0,2.46,0,2013
830,피자,고구마피자,197,973.18,0,28.25,0,20.49,2159.12,0,11.27,0,2015
831,피자,고구마피자 L,104,272.48,0,10.4,0,8.32,446.16,0,3.12,0,2015
832,피자,고구마피자 M,178,802.78,0,23.14,0,19.58,993.24,0,7.12,0,2015
833,피자,고구마피자 씬'XL,134,570.84,0,18.76,0,10.72,600.32,0,10.72,0,2015
834,피자,고구마피자 씬L,161,824.32,0,27.37,0,16.1,866.18,0,16.1,0,2015
835,피자,고구마피자 팬'XL,103,280.16,0,13.39,0,5.15,372.86,0,5.15,0,2015
836,피자,고구마피자 팬L,166,722.1,0,36.52,0,13.28,962.8,0,11.62,0,2015
837,피자,고구마피자(라이스골드) F,187,837.69,0,48.12,0,15.18,484.78,0,13.09,0,2015
838,피자,고구마피자(라이스골드) L,175,776.74,0,41.72,0,10.83,403.58,0,13.07,0,2015
839,피자,고구마피자(라이스골드) R,130,441.67,0,24.09,0,5.71,221.43,0,7.27,0,2015
840,피자,고구마피자(라이스바이트) F,195,943.1,0,49.08,0,14.2,690.3,0,13.26,0,2015
841,피자,고구마피자(라이스바이트) L,185,878.69,0,45.9,0,13.88,349.08,0,6.11,0,2015
842,피자,고구마피자(라이스바이트) R,147,570.87,0,28.64,0,8.44,193.66,0,3.38,0,2015
843,피자,고구마피자(백미) L,121,258.66,0,10.51,0,5.14,189.82,0,3.36,0,2015
844,피자,고구마피자(백미) R,197,703.23,0,24.74,0,11.5,418.78,0,7.31,0,2015
845,피자,고구마피자(석쇠) F,144,498.41,0,26.78,0,9.1,288.12,0,4.98,0,2015
846,피자,고구마피자(석쇠) L,130,409.33,0,21.93,0,7.41,238.68,0,4.04,0,2015
847,피자,고구마피자(석쇠) R,177,765.19,0,40.94,0,13.58,442.32,0,7.38,0,2015
848,피자,고구마피자(씬) L,100,296.09,0,13,0,4.42,285.16,0,6.68,0,2013
849,피자,고구마피자(치즈크러스트) F,157,597.35,0,33.57,0,9.89,358.96,0,7.79,0,2015
850,피자,고구마피자(치즈크러스트) L,155,606.69,0,34.01,0,9.39,341.96,0,7.49,0,2015
851,피자,고구마피자(치즈크러스트) R,117,356.6,0,20.19,0,5.03,191.49,0,4.48,0,2015
852,피자,고구마피자(팬) F,154,588.93,0,31.55,0,10.27,315.96,0,5.42,0,2015
853,피자,고구마피자(팬) L,138,472.1,0,25.23,0,8.24,258.64,0,4.35,0,2015
854,피자,고구마피자(팬) R,187,876.3,0,46.77,0,15,476.83,0,7.91,0,2015
855,피자,고구마피자(흑미) L,121,265.44,0,10.84,0,5.36,189.82,0,3.36,0,2015
856,피자,고구마피자(흑미) R,197,726.77,0,26.65,0,12.41,418.78,0,7.31,0,2015
857,피자,곤졸라(스크린),101,291.14,47.04,9.31,7.26,3.68,289.1,0,6.85,0,2015
858,피자,곤졸라(치크),120,413.83,43.01,23.56,16.31,5.32,766.68,0,8.73,0,2015
859,피자,곤졸라(팬),105,302.47,40.1,18.26,7.67,3.93,403.37,0,4.94,0,2015
860,피자,곤졸라(피타),66,155.37,11.91,8.98,7.98,1.97,181.9,0,5.09,0,2015
861,피자,곤졸라(피타2조각),133,626.18,48,36.18,32.16,7.93,733.1,0,20.53,0,2015
862,피자,골드 고구마 피자,127,402.84,0,13.46,0,8.89,891.16,0,6.48,0,2015
863,피자,골드 고구마 피자 L,100,231.82,0,13.32,0,4.76,417.32,0,3.45,0,2013
864,피자,골드 불고기 피자,118,344.68,0,11.33,0,6.02,859.87,0,5.55,0,2015
865,피자,골드 불고기 피자 L,100,228.78,0,13.14,0,4.26,508.69,0,3.24,0,2013
866,피자,골드 스테이크불갈비 피자,123,380.56,0,17.59,0,7.26,850.79,0,8.36,0,2015
